portfolio,total_fees,num_trades,num_trades_saved,taxes_HODL,end_price_HODL,taxes_rebalanced,end_price_rebalanced
ERC-LTC-DOPE-XMR-GRS,3503.9689173268066,742,0,15313.74157556767,66254.96630227068,54356.38878819367,170450.62305606558
FTC-ETH-AEON-RBY-LTC,1165.8785372405548,654,10,4110.145430867765,21440.58172347106,17418.78874410785,48746.844040950906
SPR-DASH-ZCL-BTC-STRAT,1590.7121371417966,681,113,2686.3185288053746,15745.274115221499,21504.29545261794,58427.642019156214
RDD-PTC-EFL-BCY-XVG,2164.452174529545,708,0,14438.491258033973,62753.96503213589,33285.774361079486,80039.3289145657
TX-ETH-FLO-ABY-ERC,1082.602410339522,732,0,2684.482939052941,15737.931756211765,15107.46505649493,41638.76326568
PIVX-AMP-AEON-CURE-XST,1825.548737261163,772,0,3852.2443261130293,20408.977304452117,23717.37841661322,55947.640155010595
OK-CURE-FLO-SEQ-MONA,2843.5334777844123,812,0,6844.317370947127,32377.269483788506,38987.57323679194,88534.9327361277
EMC-DOGE-RBY-BURST-PTC,895.1147082630106,640,0,2791.0287494423524,16164.11499776941,14261.218142767728,37766.813345856295
DASH-IOC-OK-TX-EXCL,2155.7890996892233,766,0,3372.926844194708,18491.70737677883,28341.904561502473,54150.41845756539
ZEC-PTC-ABY-XMR-ETH,690.2514469830373,541,27,3441.039504139725,18764.1580165589,11771.073396900438,33617.476375059494
SLR-NEOS-EBST-IOC-XLM,2050.4150517555713,826,0,3152.118365111148,17608.47346044459,25894.26528323888,53884.20669068662
VTC-TX-XMG-BLK-DASH,1485.7238717039518,692,0,3320.2260345455034,18280.904138182013,23045.529019877988,49107.75716577163
XVG-MONA-ERC-CLAM-XCP,2751.2335534413173,794,0,16336.868210092089,70347.47284036835,40293.444442905224,93626.17944252581
EXCL-DGB-FLO-EXP-ERC,892.4169083320736,688,0,2760.581362822132,16042.325451288529,11640.163608031497,32577.24180861972
XMR-STRAT-DGB-NAV-CLAM,594.4863135210885,574,0,2478.9212200952147,14915.684880380859,10205.792594876923,25791.026818584018
XST-IOC-EXCL-CURE-LTC,2003.1095651393257,734,0,4719.105251939981,23876.421007759924,28639.34055471453,63784.15832699943
DASH-STEEM-VIA-VTC-LTC,1021.7460354800852,618,0,5052.260232828079,25209.040931312316,18927.321535966723,48994.58085759566
DCR-XLM-XST-DOGE-NEOS,1196.8839310021328,716,0,5082.0650239289,25328.2600957156,18204.184783922607,55690.335834060184
CLAM-XST-CURE-VTC-DOPE,2705.1276384452644,772,0,4713.140330662814,23852.561322651258,39163.45457081026,78024.82429078374
DASH-STRAT-CLAM-REP-XVG,1204.7714747702598,680,0,12644.581778490894,55578.327113963576,17876.578390587652,44196.52701150429
ETC-DMD-XVG-RVR-EXCL,3049.9485842929525,754,0,13980.10580945337,60920.42323781348,44094.13249723505,87403.67355899586
DGB-BLK-STRAT-ZCL-EXCL,1775.9160249460529,788,0,2889.961927301628,16559.84770920651,23788.249193583062,61356.20073710199
XCP-XVG-EXCL-DCR-BLK,1729.8772059289654,740,0,13976.281585552566,60905.126342210264,26398.86943156393,68643.64636689573
VRM-ABY-EMC-EFL-VTC,2123.889380302329,802,0,3535.8158235837427,19143.26329433497,33534.53899309819,64764.780753807136
XCP-NEOS-DASH-NEO-XRP,1440.978288053452,650,0,20198.51021842397,85794.04087369588,24455.353004665627,48947.137844153236
XLM-BTC-TX-ZEC-EBST,1805.6233199123762,667,107,4126.428813353133,21505.71525341253,31194.321992565914,80835.82405548726
REP-BCY-VIA-RDD-ETC,661.7259043361423,620,0,2661.496895453479,15645.987581813915,9544.586761458648,26998.04508822604
GRC-VIA-AEON-ETC-XCP,768.3287073461731,688,0,2227.91957590562,13911.67830362248,10616.834277786265,25472.6763009829
FTC-SPR-EBST-EMC-STRAT,2831.847456844998,854,0,3193.6912587983707,17774.765035193483,32855.9173245667,80564.96618513578
CURE-SLR-AUR-NXT-MONA,1701.737552776809,692,0,5052.82010040917,25211.28040163668,25696.59326446604,49754.609598069175
DASH-CURE-SLR-NAV-DGB,988.9200840274613,640,0,2577.33950869882,15309.35803479528,16671.647516092864,36725.350003071195
AUR-LTC-DMD-BURST-SPR,1183.4231761377587,692,0,2736.5183070344233,15946.073228137693,15812.810088227567,38692.875813112034
POT-ETC-XLM-STRAT-NEOS,539.714234868324,616,0,2258.2433345122213,14032.973338048885,8468.55938718639,21452.720848553145
IOC-PTC-TX-RDD-GRC,1494.1261800591753,724,0,3172.8364147019574,17691.34565880783,21726.36368103309,45593.18898939376
POT-ENRG-RDD-GRS-PIVX,2192.6841129906134,814,0,13469.478971844412,58877.91588737765,31734.548001478233,89607.98525655104
NEO-NLG-ETC-DCR-BLK,919.7957920683735,622,0,20481.77621512156,86927.10486048624,14930.19252159287,45430.406110814205
BTC-XVG-NEOS-MONA-PPC,2085.6603148195827,605,115,16252.175518246033,70008.70207298413,34980.4638379784,83777.7329010497
DOPE-PTC-DOGE-SBD-VTC,2264.3530548505655,700,0,3859.7800487109025,20439.12019484361,32789.83017951822,65498.453469577
POT-EMC-XMY-XLM-FLO,1078.6029853090429,698,0,3401.1887045346894,18604.754818138757,16578.41087747387,42430.22262792848
GRC-CLAM-SLR-FLO-RBY,538.1106265529926,636,0,713.3771050845414,7853.508420338166,6880.438176358155,17320.02631582271
OK-LSK-LTC-BYC-TX,2208.9401575420866,750,0,5755.0188002719315,28020.075201087726,33194.17011489555,74950.47781930031
NXS-REP-NEO-EXP-PTC,2554.0379444348996,752,0,21543.940670589924,91175.7626823597,34561.68862385974,84030.45258584991
REP-IOP-XMR-AEON-DGB,1102.7036638858342,710,0,2531.1169082971005,15124.467633188402,16687.258583295028,41257.557827564495
NXS-GRC-SPR-XLM-CLAM,1018.6984779842431,732,0,3122.4597204681204,17489.83888187248,12906.248678768145,33922.22979094615
XST-EFL-SBD-NLG-NEOS,1594.7247686775786,722,0,2697.0345070425506,15788.138028170202,19764.140683307658,43636.305453987596
XMG-AEON-BURST-NAV-VRM,2390.808933389449,746,0,3163.3681695033392,17653.472678013357,36988.50890553432,67784.42527840576
BLK-ZEC-LSK-ETH-STRAT,466.34473799158974,498,32,3620.1712724252893,19480.685089701157,7787.031763535964,24636.21281947074
EMC-AEON-RVR-SPR-ETC,1622.2595155712747,824,0,2203.856095644037,13815.424382576148,17846.191340195564,44415.63280789257
BTC-FLO-XLM-LTC-OK,981.9560488382398,576,116,5041.575484217919,25166.301936871678,20484.053514150834,57479.39840890702
CLAM-RVR-GRC-DOPE-DCR,1116.5184667558365,680,0,2589.7905233369747,15359.162093347899,14998.2830350724,36601.70108662914
EXCL-EMC-NAV-LTC-DOPE,2364.801955412136,734,0,4574.394260074301,23297.577040297205,35799.07938016054,83635.86652776165
BLK-VTC-XLM-SPR-ETC,1076.0186059438342,738,0,3653.552413196103,19614.20965278441,14750.252607351129,38955.240929644206
BRK-POT-NXT-AEON-XMG,1867.6866675258307,704,0,2368.45362336125,14473.814493445,27431.539694405114,48617.13429541754
DMD-XRP-SLR-BURST-VIA,1128.019881662144,700,0,3100.6004352826103,17402.40174113044,17218.375523380273,38599.40063863335
VRM-BYC-DASH-XCP-OK,2028.4830545437007,782,0,3123.9829192463885,17495.931676985554,26655.25513080784,52599.78841197312
SPR-RVR-SHIFT-OK-BCY,1955.3517843387995,814,0,2398.998399622904,14595.993598491616,21915.687013599996,43711.40331303222
LBC-EGC-BURST-REP-BLK,786.3328948613796,658,0,1577.6590405956204,11310.636162382481,10403.027148500654,26943.00381941884
VRM-CURE-EFL-BYC-DGB,1282.6731097991003,708,0,2782.1654057936553,16128.661623174621,18991.46169152226,44332.52782263478
XVG-DGB-BTC-NEOS-XMR,1309.5126650016177,550,102,13820.738646792755,60282.95458717102,23695.857350267463,62528.76987484403
EGC-DASH-ABY-VTC-REP,1425.0933302461392,684,0,3309.0286422982517,18236.114569193007,23275.701344032932,48431.17585009258
LBC-STRAT-FLO-LSK-EMC,793.9213284543882,638,0,3557.6693039430284,19230.677215772113,11647.718226542009,30009.316056497923
ZEC-SPR-NXT-RBY-SBD,1145.137446684622,760,0,1007.3275290328393,9029.310116131357,13080.02164570213,31407.40774027746
BYC-IOP-SPR-FLO-SLR,1227.3646841312518,862,0,1269.3263555343538,10077.305422137415,12018.22612426896,30938.261941617915
BCY-AMP-PTC-SYS-BLK,564.5221247989344,660,0,1991.0187787889809,12964.075115155923,7282.899465601617,19838.80745820933
ZCL-WAVES-BSD-POT-EXP,1327.7448146131455,742,0,1984.6530101750295,12938.612040700118,17368.84070048896,42091.09980904011
SBD-XMG-XMY-BLK-CURE,1637.6891760191022,684,0,1783.3740680654755,12133.496272261902,22954.73127471228,45807.35758159949
FTC-REP-ZCL-IOC-XCP,1836.269167557401,830,0,2633.7878092789942,15535.151237115977,20317.582379858213,51681.52417767939
LBC-NLG-EBST-VRM-SPR,2612.4670687396224,874,0,1762.8210025410722,12051.284010164289,25724.7331334526,53275.218265657655
SHIFT-AEON-NEO-ENRG-ZCL,6378.397446504172,958,0,21624.92940282091,91499.71761128365,73174.49028748009,183176.42620306346
VIA-DMD-ZCL-NAV-NEOS,2730.50916626747,784,0,3724.9231613476895,19899.692645390758,32620.02389645023,74529.9031264013
